ID,DartingDate,KayCode,CodeNumberOnSamples,TUCB,A4UCB,T,P,C,E,A,LH,STRESSCA,NIPS,IGF,IGF06,TESTES,Notes,BODY,SHOULDER,WT,PM3,MOTOBABE,RANK,TENURE,AGEMO,SEX,MO,YR,REPCON,REPCAT,SOCCAT
hob,6/14/92,76,,,,0.09,0.238,6.98,0,,0.22,2,2.6,,277,,,72.5,58,19.8,,,16,,9,F,6,1992,bado,0,RJF
pale,4/2/92,75,,,,0.15,0.498,0,0,4.675000191,2.9,1,14.35,,,,,97.6,,58.8,11,,,,,F,4,1992,?,1,TAF
ftsa,5/1/92,78,,,,0,0.108,5.56,0,,2.96,2,5.2,,,,,97.4,74,43,18.8,,,,26,F,5,1992,bado,0,RJF
gol,5/26/92,89,,,,0,0.18,2.05,0,,2.48,2,2,,275,,,74,62.5,20.8,,,16,,10,F,5,1992,bado,0,RJF
mop,5/24/92,85,,,,0,,1.36,,,0.16,2,,,313,152.25,,67.5,53,16.4,,,4,,6,M,5,1992,bado,,JNM
pky,5/26/92,88,,,,0.06,,3.13,,,0.35,2,,,272,150,,78,65,23.6,,,17,,11,M,5,1992,bado,,JNM
zip,4/11/92,79,,,,4.76,0.178,8.69,,,0.48,2,,,107,656,,99,79.3,47.7,14.9,,,3.42,,M,5,1992,ok,,LTI
gan,6/7/92,90,,,,0,0,0,0,1.521999955,0.55,2,4,248.43,136,,,98.5,80.5,56.2,17.6,,16,,44,F,6,1992,bado,0,RAF
bail,12/8/92,97,,,,0,0,0,0,,0.47,2,2.65,,474,,,84,56,27.8,,,8,,11,F,8,1992,bado,0,RJF
jab,12/8/92,96,,,,0,0,0,0,,,2,3.71,,278,,,81.5,54.5,33.8,,,,,10,F,128,1992,bado,0,RJF
ghos,9/21/92,93,,,,0,0,0,,,0.38,2,,,,286.9725,,84,70,28.8,,,,,10,M,9,1992,bado,,JNM
hn,9/21/92,92,,,,0.3,,4.92,,,0.48,2,,,,693.719,,103,79.6,55.4,16.15,,,,,M,9,1992,ok,,LTI
krk,12/9/92,98,,,,0,0,0,,,,2,,,240,262.2,,77,62,24.7,,,3,,11,M,129,1992,bado,,JNM
bz,10/19/92,94,,,,0,4.378,0,18.28,8.065999985,0.41,2,23,,,,,91,77,45.8,13.275,,,,,F,10,1992,lact,1,RAF
hol,10/25/92,9,95,5.5,2.069999933,5.33,,0,,,0.55,2,,,,709.5066,,106,76,48,16.8,,,4,,M,10,1992,ok,,LTI
agp,12/30/92,99,,,,0,,2.67,,,1.46,2,,,262,686.5012,,75,66,30,17.25,,7,,14,M,12,1992,bado,,JNM
ap,5/16/93,33,,2.819999933,1.610000014,2.56,,5.22,,,0.49,2,,209.58,100,1453.485,,92.3,79.5,55.4,16.3,,6,2,60,M,5,1993,ok,,LTI
bag,7/15/93,86,,,,0,0,0,,0.270999998,0.24,2,,,289,366,,76.5,64,28.4,18,,12,,15,M,7,1993,bado,,JNM
baj,7/14/93,84,,,,0,0.876,8.5,,0.252999991,0.15,2,,,286,336,,57,52,14.4,,,3,,7,M,7,1993,bado,,JNM
bern,7/19/93,83,,,,0,0.944,6.55,0,,2.63,2,2.6,,310,,,63,56,28.4,,,15,,10,F,7,1993,bado,0,RJF
ger,7/12/93,82,,,,0,0,0,0,,0.42,2,3.95,329.27,337,,,77.5,57.5,19.4,,,6,,8,F,7,1993,bado,0,RJF
gil,7/18/93,87,,,,0.15,0.299,7.01,0,6.294000149,0.52,2,4.5,,355,,,84,71,32.6,,,1,,12,F,7,1993,bado,0,RJF
hg,7/8/93,991,,,,0,0.236,2.86,0,1.401000023,0.59,2,4,,660,,,75,60,23,,,5,,10,F,7,1993,bado,0,RJF
nav,7/21/93,100,,,,0,0.586,9.93,0,0.939999998,0.28,2,3.8,,246,,,69,,17.7,,,6,,9,F,7,1993,bado,0,RJF
sun,7/9/93,80,,,,0,0,0,,,1.33,2,,,361,826.56,,77.5,66,29.8,18.13,,10,,13,M,7,1993,bado,,JNM
bal,8/9/93,104,,,,0.36,0,1.09,,,,2,,,402,336,,58,55.5,14,,,3,,7,M,8,1993,bado,,JNM
jj,8/12/93,106,,,,0,0,0,0,2.846999884,0.41,2,2.8,,467,,,79.5,63,28.2,,,5,,11,F,8,1993,bado,0,RJF
lt,8/7/93,103,,,,0,1.385,1.31,0,,2.67,2,,,,,,94,78.8,63.4,15.15,,,,,F,8,1993,lact,1,TAF
okam,8/4/93,101,,,,0.21,0.188,9.38,,0.307999998,0.28,2,,,,1557.33,,101,78,53.6,16.25,,,,,M,8,1993,ok,,LTI
oksa,8/5/93,102,,,,0,0,0,,0.514999986,2.24,2,,,,456.12,,84,70,38.7,18.35,,,,,M,8,1993,bado,,JNM
tz,8/11/93,105,,,,0,0,1.27,,,0.32,2,,,51,1195.2,,95.5,79.3,45.2,16.35,,,0.17,,M,8,1993,ok,,STI
bb,12/8/93,10,,,,0.525,37.92,14.85,41.2,6.139999866,0.37,3,,253.01,118,,,111.3,78,,18.9,-2,3,,54,F,12,1993,preg,1,RAF
coch,12/15/93,25,,0.159999996,2.650000095,0.41,75.08,2.77,87.32,1.786000013,0.31,2,15.65,912.16,204,,,96,76,,16.44,-1,6,,108,F,12,1993,preg,1,RAF
pt,12/14/93,71,,,,0,1.641,12.39,0,,0.42,2,7.2,,266,,,,75.5,,19.05,-4.5,6,,33,F,12,1993,bado,0,RAF
will,4/26/94,107,,,,1.34,0.118,5.53,,1.123000026,0.31,2,,,174,1263.135,,92,79,60.2,15.8,,,0.13,,M,4,1994,ok,,STI
bsh,5/2/94,27,,1.379999995,11.42000008,0.942,86.08,1.94,51.03,25.02000046,0.38,2,10,217.75,130,,,101,78.5,56.4,14.25,-2,1,,138,F,5,1994,preg,1,RAF
cr,5/24/94,108,,,,0,0,2.28,0,0.660000026,1.05,2,3.8,,285,,,73.5,60,24.2,,,11,,9,F,5,1994,bado,0,RJF
sun,5/29/94,80,,,,0.321,,0,,0.245000005,0.45,2,,,164,1171.32,,97,70.5,43.2,16.8,,16,,24,M,5,1994,ok,,ANM
tit,5/24/94,109,,,,0,0.157,2.28,,0.541000009,1.24,2,,,231,170.13,,71.5,58.8,20.4,,,11,,9,M,5,1994,bado,,JNM
ud,5/25/94,110,,,,0,,1.73,0,0.319000006,0.32,2,,,305,209.595,,65.5,55.5,15.6,,,16,,8,M,5,1994,bado,,JNM
ach,6/16/94,116,,,,0,0,2.42,,,0.173,2,,,,971.46,,101,80,53.4,17.1,,,,,M,6,1994,ok,,
adr,6/17/94,117,,,,0,0.777,12.14,0,0.811999977,,2,13.2,,,,,104,78.5,48,14.6,,,,,F,6,1994,?,1,TAF
alg,6/12/94,114,,,,0.1,0.553,24.23,,,0.32,2,,,,1325.4,,97,83,57.5,18.7,,,,,M,6,1994,ok,,
bilb,6/15/94,115,,,,0,0.104,1.2,0,,3.36,2,3,,418,,,73,60.5,21,,,20,,9,F,6,1994,bado,0,RJF
gp,6/11/94,113,,0.150000006,1.610000014,0,2.575,1.28,0,,0.136,2,14.2,,,,,100.8,78.3,54.8,11.7,,,,,F,6,1994,lact,1,RAF
lg,6/28/94,55,,,3.049999952,0.256,48.1,8.06,21.19,2.437999964,0.45,2,13.15,133.15,86,,,107,84.4,,14.265,-3,23,,147,F,6,1994,preg,1,RAF
mike,6/10/94,112,,,,2.68,0.189,2.42,,1.095999956,0.47,2,,,132,1707.475,,90.4,75.5,44.4,16.1,,,0.33,,M,6,1994,ok,,STI
par,6/23/94,119,,,,0,1.299,16.65,0,,0.44,2,2.6,,277,,,82,63,26.2,,,14,,11.4,F,6,1994,bado,0,RJF
rock,6/18/94,118,,,,2.674,0,1.98,,,0.343,2,,164.44,,1292.39,,93.3,77,44.2,14.2,,,0.003,,M,6,1994,ok,,STI
rv,6/19/94,20,,,,0,0.842,0,0,,0.626,2,5.9,365.59,186,,,94,74.5,47.6,17.5,,15,,50,F,6,1994,bado,0,RAF
ua,6/26/94,36,,,,0.125,1.436,2.62,22.56,1.391000032,0.144,2,14.4,321.86,118,,,103.5,80.3,53.6,16.4,13,12,,89,F,6,1994,lact,1,RAF
dj,7/7/94,30,,2.690000057,9.920000076,0.957,180.5,31.5,652.2,26.14599991,0.186,2,14.6,708.23,400,,,100.8,78.5,59,15.4,-0.5,7,,105,F,7,1994,preg,1,RAF
hob,7/5/94,76,,,,0,0.188,5.5,0,,0.39,2,6.2,300.49,154,,,99,78,,19.5,,21,,36,F,7,1994,bado,0,RAF
jb,7/4/94,121,,,,0,0,0,0,1.021000028,0.37,2,1.6,,271,,,91,71.6,35.6,19.975,,1,,12,F,7,1994,bado,0,RJF
mark,7/11/94,123,,,,0,0,1.06,,,0.24,2,,,,1859.92,,97.7,79.5,55.1,20.8,,,0.33,,M,7,1994,ok,,STI
my,7/3/94,120,,,,0,0,3.43,0,,0.105,2,5.8,,117,,,96.8,75.5,48.6,17.65,,,,,F,7,1994,?,1,RAF
rm,8/27/94,124,,,,0,0.59,14.958,0,,2.76,2,,,356,,,87.4,72.6,36.4,20.95,,12,,14,F,8,1994,bado,0,RJF
who,8/23/94,74,,,,0,0.5,0.5,8.38,,0.121,2,12.7,590.65,394,,,96.8,75.3,62.3,16.7,8,3,,38,F,8,1994,lact,1,RAF
coch,9/5/94,25,,,,0,1.1,9.385,17.4,,0.12,2,13.1,393.14,236,,,100,76.1,71.4,13.35,8,8,,117,F,9,1994,lact,1,RAF
irq,9/25/94,128,,,,0,,1.253,,,0.34,2,,,353,625,,78.4,61.5,22.96,,,8,,8.25,M,9,1994,bado,0,JNM
mig,9/20/94,126,,0.079999998,0.270000011,0,,0,,,1.53,2,,,235,1079,,88.5,71,41.6,16.7,,,0.05,,M,9,1994,ok,,STI
scby,9/23/94,127,,,,0,0,1.181,0,,0.38,2,,,193,,,75.3,59.8,20.23,,,17,,8,F,9,1994,bado,0,RJF
scy,9/7/94,58,,,,0.42,44.56,2.804,44.47,,0.41,2,,251.29,92,,,,,,,-3,15,,45,F,9,1994,preg,1,RAF
stny,9/4/94,125,,0.49000001,0.5,0.34,,2.148,,,0.13,2,,,176,1100,,92.3,75.6,47.7,16.78,,,0.08,,M,9,1994,ok,,STI
cyr,12/14/94,129,,0.090000004,0.330000013,0,,1.482,,,0.138,2,,,144,859.4,,93,78,47.7,19,,,0.003,,M,12,1994,ok,,STI
kal,12/17/94,130,,,,0,0.35,5.391,0,,1.84,2,2.8,,209,,,83.3,73,37.7,20.7,,12,,17,F,12,1994,bado,0,RJF
kip,12/18/94,131,,,,0,0,0,0,,0.26,2,2.5,,273,,,85.2,65.4,32.7,,,3,,12.4,F,12,1994,bado,0,RJF
sher,12/15/94,12,,,,1.47,,0,,,0.485,2,,111,58,1654,,101.5,75.3,53.2,14.7,,,,88.5,M,12,1994,ok,,LTI
bail,1/12/95,97,,,,0,1.18,8.387,4.4,,0.368,2,9,382.93,230,,,100,83.8,54.5,19,-4.5,13,,36.8,F,1,1995,?,1,RAF
luc,1/23/95,135,,,,0,0.8,2.536,5.21,,0.133,2,10,,126,,,101.2,80,56.4,19.55,,,,,F,1,1995,lact,1,
pt,1/2/95,71,,,,0,1.07,5.446,0,,0.11,2,11.2,380.29,190,,,87.2,82.3,60.5,18.05,8,9,,51,F,1,1995,lact,1,RAF
sri,1/6/95,134,,,,,,,,,,2,,,,,,,,,,,,,,M,1,1995,,,
wald,1/31/95,136,,,,0.14,,0,,,0.293,2,,,117,1124,,83.4,78.4,52,16.15,,,0.17,,M,1,1995,ok,,STI
wm,2/9/95,137,,,,0.11,0,0,0,,0.18,2,2,,397,,,72.8,61,21.1,,,5,,7.2,F,2,1995,bado,0,RJF
wr,2/12/95,139,,,,0,0,0,0,,0.38,2,2,352.61,213,,,59,52.4,23.1,,,4,,11.4,F,2,1995,bado,0,RJF
zulu,2/10/95,138,,,,0,,0,,,0.17,2,,,163,255,,72.2,57.2,16.4,,,9,,9.25,M,2,1995,bado,0,JNM
WARF,3/27/95,142,,,,0,,4.78,,,,2,,,0,120,,45,34.1,3.643,,,15,,4.4,M,3,1995,bado,0,JNM
dj,3/24/95,30,,,,0,1.01,0,0,,0.223,2,14.5,254.78,112,,,98.4,80.3,58.4,15.85,8,7,,113.5,F,3,1995,lact,1,RAF
23s,3/25/95,38,,,,0.71,14.28,46.573,0,,0.78,3,13,,106,,,98,80.1,55.46,10.8,1,16,,143,F,3,1995,lact,1,RAF
jab,3/3/95,96,,,,0,0.89,0.949,0,,0.202,2,12.3,322.89,139,,,108.4,81.4,64.5,17.9,8,5,,37.5,F,3,1995,lact,1,RAF
jj,3/7/95,106,,,,0,0.38,7.569,0,,0.099,2,4.4,,209,,,94.7,74.2,51.6,19.2,-18,7,,30,F,3,1995,bado,0,RAF
mh,3/6/95,140,,,,0,0.88,5.464,0,,0.23,2,2.8,,160,,,63.4,53.6,13.7,,,4,,8.6,F,3,1995,bado,0,RJF
dd,4/13/95,146,,,,0,,0,,,0.22,2,,,183,169,,59.4,54,13.2,,,7,,8.8,M,4,1995,bado,0,JNM
ger,4/26/95,82,,,,0,0,1.799,0,,0.088,2,4.8,,174,,,,,50.4,,-17,8,,30,F,4,1995,bado,0,RAF
mp,4/10/95,145,,,,0,0,2.26,0,,0.26,2,,,275,,,,,,,,,,8.7,F,4,1995,bado,0,RJF
sir,4/21/95,147,,,,0,,0,,,0.69,2,,,275,,,,,,,,,,9.5,M,4,1995,bado,0,JNM
sx,4/5/95,29,,,,0,0.63,0,9.87,,0.013,2,10.8,,127,,,93.5,78.6,52.95,18.75,8,10,,65.5,F,4,1995,lact,1,RAF
jop,6/21/95,149,,,,0.81,,2.022,,,0.278,2,,,,1225,,,,,,,,0.05,,M,6,1995,ok,,STI
rp,6/8/95,148,,,,0,0,3.81,0.06,,0,2,3.8,,,,,55.5,76.6,53,17.7,,,,,F,6,1995,?,1,LTI
zoe,6/23/95,151,,,,0,0,1.867,3.11,,0.137,2,,,,,,96,,54.6,17.7,,,,,F,6,1995,?,1,
lfl,7/20/95,154,,,,0,0,0,0,,0.72,2,3.8,,,,,97.5,76.5,49.1,19.3,,,,,F,7,1995,bado,1,RAF
ll2,7/2/95,153,,,,0,,1.221,,,0.39,2,,,,1134.6,,90,74.5,,,,,,,M,7,1995,ok,,RJF
swp,7/23/95,155,,,,0,0,0,0,,0.5,2,5,,,,,89,76,54,17.5,,,,,F,7,1995,?,1,
kiki,8/11/95,157,,,,0.11,1.23,1.386,8.9,,0.176,2,42.4,,,,,97,82,68.4,18.2,,,,,F,8,1995,lact,1,
piz,8/3/95,156,,,,1.39,,0,,,0.72,2,,,,1800,,95.5,74.2,56.1,14.05,,,,,M,8,1995,ok,,RJF
amar,10/25/95,160,,,,0,0,0,2.53,,0.26,2,3.7,,386,,,70,62,22.7,,,12,,9.1,F,10,1995,bado,0,RJF
kon,11/2/95,161,,,,0,,5.182,,,0.3,2,,,236,380,,67.3,54.1,15.9,,,12,,9.4,M,11,1995,bado,,JNM
jns,1/30/96,165,,,,2.222,,12.846,,,0.39,2,,,173,1450.6,,92,73.5,64,14.85,,,,,M,1,1996,ok,,LTI
lop,2/26/96,162,,,,0,0.52,5.446,0,,0.44,2,2.1,,344,,,79.5,64,33.6,,,4,,12.5,F,2,1996,bado,0,RJF
alo,3/15/96,166,,0.579999983,0.469999999,0.625,,0,,,1.71,2,,,125,843.2,,90,75,40,17.4,,,0.21,,M,3,1996,ok,,STI
ua,3/1/96,36,,,,0.114,0.79,0,0,,0.5,2,17,334.67,114,,,95,81.5,58.6,15.4,13,11,,108,F,3,1996,lact,1,RAF
jone,6/8/96,169,,,,0,1.39,12.425,0,,5.75,2,2.9,,463,,,75.9,60.6,25.9,,,6,,10.4,F,6,1996,bado,0,RJF
pf,6/21/96,173,,,,0,,0,,,0.25,2,,535.1,499,624.4,,85,68.3,31.4,,,12,,13,M,6,1996,bado,,JNM
rinc,6/8/96,170,,,,0,,9.232,,,0.34,2,,,357,259.4,,74,66,24.6,,,6,,10.4,M,6,1996,bado,,JNM
vsv,6/7/96,168,,0.600000024,0.469999999,0.534,,1.028,,,1.26,2,,,,1099,,96,81.3,68.2,14.3,,,,,M,6,1996,ok,,LTI
deb,7/24/96,171,,,,0,0,0,0,,0.44,2,3.2,,549,,,68.5,56.5,20,,,7,,8.6,F,7,1996,bado,0,RJF
pos,7/8/96,172,,,,0.476,,6.091,,,0.17,2,,,143,1386,,86,76,49.8,14.75,,,0.52,,M,7,1996,ok,,LTI
sim,7/28/96,179,,1.840000033,1.360000014,0.2,,0,,,0.59,2,,,329,1329,,97.5,78,47.5,18.5,,,0.083,,M,7,1996,ok,,STI
zing,7/27/96,177,,,,0,,1.814,,,0.3,2,,,638,300,,72,58,21.1,,,7,,8.7,M,7,1996,bado,,JNM
arse,8/9/96,174,,1.840000033,,0,0,2.621,12.71,,0.43,2,5,759.68,541,,,91.5,73.6,43.86,19,,1,,16.6,F,8,1996,bado,0,RJF
