ID,DartingDate,KayCode,CodeNumberOnSamples,TUCB,A4UCB,T,P,C,E,A,LH,STRESSCA,NIPS,IGF,IGF06,TESTES,Notes,BODY,SHOULDER,WT,PM3,MOTOBABE,RANK,TENURE,AGEMO,SEX,MO,YR,REPCON,REPCAT,SOCCAT
sein,7/16/97,181,,,,0,0.05,0.11,8.3,,0.38,2,6.6,,420,,,100.2,78.3,55,19.5,-5,1,,28,F,7,1997,bado,0,RAF
stg,7/2/97,164,,0.109999999,0.439999998,0,,0.228,,,0.19,2,,,,1333.31,,96.7,77,48.9,17.4,,,2.42,,M,7,1997,ok,,LTI
sks,7/31/97,223,,,,0,,12.457,,,0.51,3,,,279,996.16,,83,72.5,40,17.7,,14,,21.5,M,7,1997,bado,,JNM
tdum,7/7/97,218,,,,0,,4.176,,,0.48,2,,,67,493.74,,89,72.3,32.5,19.35,,7,,15.5,M,7,1997,bado,0,JNM
wth,7/9/97,219,,,,0,0.437,0.349,0,,0.98,2,10.7,,,,,102,79,53.41,12.3,,,,,F,7,1997,lact,1,
chas,11/3/97,194,,0.720000029,0.75,0.534,,0.1,,,,2,,,153,2074,,100,79.8,55.9,16.55,,,2,,M,11,1997,ok,,LTI
chic,11/6/97,189,,2.039999962,2.150000095,2.458,,2.2,,,,2,,,177,2198.62,,94,75.2,48.4,12.35,,,0.92,,M,11,1997,ok,,LTI
dna,11/7/97,216,,,,0.09,,0.3,,,0.31,2,,,324,795.15,,76.8,64,28.2,,,4,,11,M,11,1997,bado,,JNM
gol,3/19/98,89,,,,0.082,0.8,0.8,10.2,,,2,13.2,189.03,124,,,100.8,80.5,58,16.65,4,20,,80,F,3,1998,lact,,RAF
hml,3/10/98,230,,,,0,0.08,2,6.87,,1.56,2,3.2,,288,,,68.5,58.8,16.6,,,11,,10,F,3,1998,bado,1,RJF
ome,3/9/98,224,,,,0.054,,2,,,0.71,2,,,232,770,,84,68.4,29.55,,,14,,13.5,M,3,1998,bado,,JNM
puc,3/14/98,231,,,,0.05,1.4,7.1,7.88,,1.3,2,3.2,,336,,,65.7,56.3,16.4,,,11,,10,F,3,1998,bado,1,RJF
pib,7/17/98,236,,,,0,,0.4,,,0.16,2,,,,1051.4,,95,79,45,18.55,,,,,M,7,1998,ok,,JNM
sie,10/29/98,245,,,,0,0,0.6,0,,0.2,2,2.5,,161,,,77.8,62.8,27.2,,,4,,11.5,F,10,1998,bado,,RJF
yeti,10/20/98,243,,,,0,,19.4,,,1.55,3,,,294,921,,84.2,69.2,37,18.65,,5,,15.5,M,10,1998,bado,,JNM
hem,11/30/98,247,,,,0,0.3,0.4,0,,0.14,2,2.3,748.4,413,,,,66,35,,,4,,14,F,11,1998,bado,,RJF
opal,12/9/98,233,,,,0,,10.9,,,0.03,2,,,223,497.3,,77,69,26,,,20,,13,M,12,1998,bado,,JNM
csn,1/29/99,249,,,,0,0.4,0.5,0,,0.51,2,3.7,,334,,,85,71.5,36,,,1,,10.5,F,1,1999,bado,,RJF
mp,1/28/99,145,,,,0.1,53,1,27.5,,0.34,2,10.4,227.14,120,,,98,81,55,17.4,-3,9,,54,F,1,1999,preg,,RAF
exc,2/3/99,227,,,,0,,1.5,,,0.15,2,,,113,1966,,86.5,75.5,40.5,16.75,,,1.5,,M,2,1999,ok,,LTI
mrph,2/28/99,197,,,,0,1.1,0.4,18.2,,0.47,2,28.7,,202,,,96,77,52,18.3,3,2,,32,F,2,1999,lact,,RAF
whh,2/22/99,248,,,,0,0,1.9,0,,0.14,2,2.8,,151,,,80,66,30,,,12,,11.75,F,2,1999,bado,,RJF
ldv,3/7/99,237,,,,0.2,,0.4,,,0.33,2,,280.06,270,768.74,,81,67,28.41,18.95,,8,,15.5,M,3,1999,bado,,JNM
nav,3/18/99,100,,,,0.3,133.2,1,129.1,,0.22,2,36.4,414.25,234,,,99,85,62.1,16.3,-1,13,,75,F,3,1999,preg,,RAF
oke,3/4/99,244,,,,0,0,0.3,20.5,,0.26,2,4.4,506.61,393,,,82.5,67,30.23,19.6,,8,,15.5,F,3,1999,bado,,RJF
vgs,3/5/99,225,,,,1.7,,0.4,,,0.24,2,,206.08,76,1257,,86.4,79.5,47.3,14.2,,,1.6,,M,3,1999,ok,,LTI
ali,4/26/99,253,,,,0,0,0.6,0,,0.06,2,3.1,,173,,,86,72,35,19.05,,6,,20.75,F,4,1999,bado,,RJF
amar,5/2/99,160,,,,0,1,0.5,6.2,,0.13,2,29,238.84,134,,,99,81.5,56,18.25,3,17,,51.25,F,5,1999,lact,,RAF
cuj,5/11/99,251,,,,0.07,,0.4,,,0.27,2,,,141,713.4,,88,70.3,34.9,18.95,,5,,22,M,5,1999,bado,,JNM
darw,4/27/99,208,,,,0,,0.1,,,0.14,2,,307.5,198,1446,,95,80.5,50,18.45,,4,,34,M,4,1999,ok,,ANM
fri,5/29/99,255,,,,0,0.6,1.8,19.5,,0.31,2,11.5,,,,,95,78.8,59.4,17.89,,,,,F,5,1999,lact,,
nod,5/10/99,207,,0.090000004,0.49000001,0,,0,,,0.82,2,,,91,952,,91.2,77.2,42.9,18.5,,16,,31,M,5,1999,ok,,ANM
she,5/27/99,254,,,,0,1,1.1,33,,0.23,2,34,,,,,101,77,54.7,15.65,,,,,F,5,1999,lact,,
wez,5/30/99,256,,,,0.1,,2,,,0.18,2,,,,1712.3,,104,80,52.9,13.9,,,,,M,5,1999,ok,,
brn,6/28/99,260,,,,0.07,,0.27,,,0.74,2,,,493,477.3,,68.5,56.5,15.68,,,15,,7.3,M,6,1999,bado,,JNM
rub,6/29/99,261,,,,0,,0.41,,,0.44,2,,,155,691,,80.2,70.7,31.7,19.3,,19,,19.8,M,6,1999,bado,,JNM
sch,6/24/99,259,,,,0,,0.32,,,0.91,2,,,227,351.9,,59,53.6,12.2,,,15,,7.2,M,6,1999,bado,,JNM
cpa,7/4/99,262,,,,0,,1.05,,,0.41,2,,371.28,319,524.2,,64,54,14.8,,,13,,7.6,M,7,1999,bado,,JNM
gdz,7/21/99,268,,,,0.14,,11.53,,,0.97,2,,503.42,433,530,,61.9,54.8,15,,,5,,7.7,M,7,1999,bado,,JNM
jut,7/11/99,267,,,,0.04,0.1,0.41,8.8,,0.7,2,3.3,,400,,,70.7,57,20.2,,,11,,7.4,F,7,1999,bado,,RAF
tsa,7/4/99,263,,,,0,,8.99,,,0.56,2,,,273,352.5,,64,56.2,16.4,,,18,,6.9,M,7,1999,bado,,JNM
zig,7/5/99,264,,,,0.92,,18.41,,,,2,,232.95,140,1908,,87.5,78,49.4,15.9,,,1.83,,M,7,1999,ok,,LTI
foz,8/19/99,265,,,,0,,0.78,,,1.27,2,,,234,619,,89.5,71.5,36.6,18.6,,19,,20.2,M,8,1999,bado,,JNM
her,8/11/99,258,,,,0.36,,0.39,,,0.58,2,,561.1,120,510.6,,65.5,59.5,20.2,,,1,,8.8,M,8,1999,bado,,JNM
hg,8/17/99,991,,0.25999999,3.339999914,0.22,34.5,0.65,7.26,,,2,33.1,774.31,266,,,106.5,78,55.5,15.55,-1,8,,84.2,F,8,1999,preg,,RAF
mer,8/1/99,240,,,,0.07,,9.84,,,,2,,,84,1167,,88.5,77,47.3,14.7,,,2,,M,8,1999,ok,,LTI
cam,9/21/99,275,,,,0,0.1,0.84,15.4,,0.96,2,3.6,,482,,,79.5,61.5,25.7,,,9,,10,F,9,1999,bado,,RJF
coo,9/12/99,272,,,,0,0.01,0.85,8.4,,0.55,2,2.9,,387,,,89,61,23.3,,,5,,9.25,F,9,1999,bado,,RJF
del,9/13/99,273,,,,0,,0.2,,,3.58,2,,,497,581,,70.5,62,23.6,,,10,,10,M,9,1999,bado,,JNM
lim,9/29/99,270,,,,0.17,,7.02,,,,2,,327.21,,1367,,85,77,47.5,16.8,,,0.58,,M,9,1999,ok,,LTI
bail,10/23/99,97,,0.560000002,3.680000067,0.26,88.4,12.29,115.7,,0.53,2,42,725.32,437,,,103,84.5,81.2,17.65,-2,17,,93,F,10,1999,preg,,RAF
dub,10/19/99,269,,0.330000013,0.319999993,0.24,,0.67,,,,2,,,213,888,,89,81,50.7,17.15,,,0.75,,M,10,1999,ok,,LTI
hwn,10/31/99,282,,,,0.1,51.4,8.74,125.9,,0.62,2,43.8,,254,,,104,80.5,69.6,16.45,,,,,F,10,1999,lact,,RAF
ind,10/4/99,271,,,,0,,0.38,,,1.23,2,,,510,719.4,,77.5,63.5,28,,,17,,10,M,10,1999,bado,,JNM
sco,10/25/99,278,,,,0,,0.55,,,3.51,2,,,207,773.48,,87,76,46.4,21.05,,19,,22.25,M,10,1999,bado,,JNM
sx,10/29/99,29,,,,0.1,0.5,1.66,10.9,,1.78,2,49.4,208.95,105,,,98,75,55,16.65,11,13,,120,F,10,1999,lact,,RAF
ath,11/26/99,286,,,,0,0.4,4.75,9.8,,0.63,2,4.4,,347,,,77.5,65,27,,,1,,11.75,F,11,1999,bado,,RJF
hwn,11/8/99,282,,,,0.13,55.4,10.39,111.2,,0.55,3,,,353,,,,,,,,,,,F,11,1999,lact,,RAF
zim,11/7/99,283,,,,0,0.1,0.81,18.7,,3.29,2,3.5,,432,,,82,67,32.3,,,14,,11.25,F,11,1999,bado,,RJF
jane,12/12/99,289,,,,0.02,0.7,0.69,14.4,,0.67,2,46,,,,,100,73.5,58.7,17.2,,,,,F,12,1999,lact,,
knee,12/16/99,292,,,,4.72,,4.93,,,,2,,,,1748,,95.5,80.5,52.2,15.57,,,,,M,12,1999,ok,,
unlu,12/10/99,288,,,,0.06,0.5,0.67,15.2,,0.89,3,42.7,,,,,103,81,78,15.64,,,,,F,12,1999,lact,,LTI
mali,2/9/00,213,,0.280000001,3.839999914,0.2,90.8,1.1,50.7,,0.15,2,25.9,264.85,178,,,98,80.5,58.3,19.7,-1,6,,40,F,2,2000,preg,,RAF
mrph,2/23/00,197,,1.389999986,6.099999905,0.5,56,2.7,431,,0.26,2,37.6,500.99,420,,,105,77.5,61.4,17.75,-1.5,1,,44,F,2,2000,preg,,RAF
sim,3/14/00,179,,,,1.4,,23,,,0.19,2,,,81,1281,,99,77,55.3,17.9,,,3.75,,M,3,2000,ok,,LTI
hoo,4/29/00,301,,,,0,0.1,0,5,,1.98,2,3.5,,429,,,78.5,66,24.9,,,12,,12,F,4,2000,bado,,RJF
ome,4/11/00,224,,0.280000001,0.479999989,0.3,,0.1,,,0.08,2,,162.24,127,1023,,96.5,81,50.4,19.6,,13,,38,M,4,2000,ok,,ANM
bsp,5/28/00,302,,,,0,0.4,6.8,1,,0.1,2,3.2,,175,,,74,67.5,24,,,7,,12,F,5,2000,bado,,RJF
F402,5/17/00,402,,,,0,0.1,1.7,6.9,,0.19,2,3.4,,,,,84.5,73,32.64,20.7,,,,,F,5,2000,bado,,
F403,5/21/00,403,,,,0.02,0.8,1.2,5.2,,0.39,2,31.2,,,,,98,80,,14.6,,,,,F,5,2000,lact,,
F405,5/22/00,405,,,,0,0.5,0.9,13.2,,0.14,1,56.4,,,,,103,83,60.38,15.6,,,,,F,5,2000,lact,,
F406,5/22/00,406,,,,0,0.6,8.2,7.8,,0.83,2,3.3,,,,,85,73.5,34.7,,,,,,F,5,2000,bado,,
F407,5/23/00,407,,,,0,1.1,9.1,9.6,,0.12,2,18,,,,,95.5,79,65,14.55,,,,,F,5,2000,lact,,
F408,5/23/00,408,,,,0,1.4,6.1,8.8,,0.48,2,40,,,,,91.5,79,54.5,14.05,,,,,F,5,2000,lact,,
F409,5/24/00,409,,,,0.2,697.5,2.4,289.4,,0.17,2,52.4,,,,,96,81.5,,13.25,,,,,F,5,2000,?,,
F410,5/25/00,410,,,,0.01,1.1,0.8,10.7,,0.03,1,38.2,,,,,99,81.5,,17.45,,,,,F,5,2000,lact,,
F411,5/27/00,411,,,,0,1.3,16.8,15,,0.22,3,4.2,,,,,98.5,75,,16.8,,,,,F,5,2000,bado,,
F413,5/30/00,413,,,,0.2,1.2,1.6,17.8,,0.35,2,39.3,,,,,90,81.5,,15.85,,,,,F,5,2000,lact,,
F414,5/31/00,414,,,,0,0.8,1.8,14.1,,0.21,2,42,,,,,105,80.5,,15.65,,,,,F,5,2000,lact,,
F415,5/31/00,415,,,,0,0.8,7.7,10.3,,0.27,2,36.4,,,,,101.5,84.5,,16.7,,,,,F,5,2000,lact,,
F404,5/19/00,404,,,,1.4,,16,,,0.14,1,,,,1875,,102.5,82,58.1,15.1,,,,,M,5,2000,ok,,
M412,5/30/00,412,,,,1.3,,0.6,,,0.3,2,,,,2318,,98,79.5,,17.15,,,,,M,5,2000,ok,,
chw,6/17/00,304,,,,0.02,0.1,0.3,6.3,,0.35,2,3.8,,504,,,88,71.5,35.6,19.9,,3,,15,F,6,2000,bado,,RJF
back,6/2/00,417,,,,0,1.3,2.1,13.4,,0.08,2,44.2,,200,,,91,77,,16.2,,,,,F,6,2000,lact,,
chrm,6/2/00,418,,,,0,1.6,6.8,18.8,,0.32,3,53.1,,241,,,100,79,,9.85,,,,,F,6,2000,lact,,
F423,6/6/00,423,,,,0.02,1.8,0.1,15,,0.12,2,42,,,,,93,82.5,,14.05,,,,,F,6,2000,lact,,
F426,6/8/00,426,,,,0,0.7,1.5,16,,0.13,1,44.6,,,,,81,81,,16.35,,,,,F,6,2000,lact,,
F427,6/9/00,427,,,,0,0,0.2,7.6,,0.78,2,3.9,,,,,85.5,71,,19.1,,,,,F,6,2000,bado,,
chip,6/10/00,428,,,,0.03,1.5,2.9,12.6,,0.13,1,48.9,,253,,,98,77,,16.4,,,,,F,6,2000,lact,,
MLT,6/10/00,429,,,,0.05,1.4,3.4,15.8,,0.53,1,42.1,,,,,94.5,74.5,,14.4,,,,,F,6,2000,lact,,
F435,6/11/00,435,,,,0.09,1.9,0.6,14.7,,0.34,1,48.4,,,,,94,75,,16.6,,,,,F,6,2000,lact,,
F436,6/12/00,436,,,,0,,1.9,,,0.22,,41.4,,,,,99,79.5,,17.35,,,,,F,6,2000,lact,,
F438,6/12/00,438,,,,0.02,2.1,8.8,9.9,,0.88,3,49,,,,,100.5,81,,15.45,,,,,F,6,2000,lact,,
F440,6/12/00,440,,,,0.1,4.9,1.6,20.8,,0.24,3,69.7,,,,,106,79.5,,15.7,,,,,F,6,2000,lact,,
F441,6/13/00,441,,,,0.1,3,0.9,28.9,,0.22,,45.7,,,,,100.5,78.5,,15.95,,,,,F,6,2000,lact,,
M442,6/14/00,442,,,,0.05,0.07,3.7,15.2,,0.09,2,,,,951.4,,92,76.5,,16.1,,,,,M,6,2000,ok,,
F444,6/16/00,444,,,,0,1.1,7.1,15.9,,0.55,2,28.2,,,,,98.2,86,,14.6,,,,,F,6,2000,lact,,
F445,6/16/00,445,,,,0,0.9,0.6,6.5,,0.09,3,39.3,,,,,85.5,80,,14.9,,,,,F,6,2000,lact,,
wnd,6/17/00,446,,,,0.01,0.7,2.2,8.1,,0.12,2,31.7,,249,,,99,74.5,,18.9,,,,,F,6,2000,lact,,
F448,6/17/00,448,,,,0,0.7,0.03,10.3,,0.77,,3,,,,,87,71.5,,18.9,,,,,F,6,2000,bado,,
F449,6/18/00,449,,,,0.01,,4.4,14.7,,0.2,1,45,,,,,117,85,,13.15,,,,,F,6,2000,lact,,
F452,6/21/00,452,,,,0.07,1.4,7.9,17.6,,0.22,1,43.4,,,,,95.5,76,,15.65,,,,,F,6,2000,lact,,
F453,6/21/00,453,,,,0.3,302.9,6.5,131.5,,0.1,2,34.2,,,,,97,75,,18.2,,,,,F,6,2000,?,,
F454,6/24/00,454,,,,0.05,1.7,21.4,6.3,,0.36,2,27,,,,,98.5,81,,17.55,,,,,F,6,2000,lact,,
F455,6/27/00,455,,,,0.03,0.9,10.7,9.2,,0.42,2,25.9,,,,,96.5,74.5,49.36,15.05,,,,,F,6,2000,lact,,
F456,6/27/00,456,,,,0,0,0.3,10.7,,2.72,2,17.5,,,,,86.5,71.5,40.06,16.1,,,,,F,6,2000,bado,,
F457,6/28/00,457,,,,0.1,1.2,2.9,16.9,,0.89,2,47.6,,,,,107,87.5,64.2,13.85,,,,,F,6,2000,lact,,
atar,6/30/00,461,,,,0.3,1.5,14.6,11.1,,2.33,,40.9,,246,,,94,76,56.6,15.05,,,,,F,6,2000,lact,,
F462,6/30/00,462,,,,0.1,65,1.2,31.9,,0.34,2,34.7,365.93,,,,106.5,76.5,64.4,12.21,,,,,F,6,2000,preg,,
REU,6/1/00,416,,,,0.03,,11.3,,,0.19,2,,,257,1028,,82.5,76,,18.75,,,,,M,6,2000,bado,,
M422,6/5/00,422,,,,0.2,,0.01,,,0.32,2,,,,769,,93,75,,16.55,,,,,M,6,2000,bado,,
M424,6/7/00,424,,0.709999979,1.340000033,0.9,,21.8,,,0.1,2,,,,1261,,100.5,79.5,,13.7,,,,,M,6,2000,ok,,
jug,6/7/00,425,,,,0.9,,9.1,,,0.28,2,,,247,635,,82,78.5,,19.55,,,,,M,6,2000,ok,,
M431,6/10/00,431,,,,2.8,,2.2,,,0.25,2,,,,1324.3,,86,75,,,,,,,M,6,2000,ok,,
M434,6/11/00,434,,,,0.2,,1.2,,,0.15,3,,,,1387,,105,77,,16.8,,,,,M,6,2000,ok,,
M443,6/14/00,443,,,,0.4,,5,,,0.33,,,,,1451.4,,97,76,,15.7,,,,,M,6,2000,ok,,
M447,6/17/00,447,,,,3.2,0,2.9,,,0.59,1,,,,1233,,98,72.5,,14.65,,,,,M,6,2000,ok,,
M450,6/18/00,450,,,,0,,8.4,,,0.15,2,,,,491.4,,74,65.5,,,,,,,M,6,2000,bado,,
M451,6/20/00,451,,,,2.1,,2.5,,,0.16,2,,,,1264,,94,76.5,,15.8,,,,,M,6,2000,ok,,
DIN,6/28/00,458,,,,0,,1.7,,,0.09,2,,,,1344,,100,81.5,51.6,14,,,,,M,6,2000,ok,,
M459,6/29/00,459,,,,0,,2,,,0.11,2,,,,1052,,96.5,77.5,41.4,19.05,,,,,M,6,2000,bado,,
M460,6/29/00,460,,,,0.03,,0,,,0.27,2,,,,615,,85.5,74.5,45.4,20.1,,,,,M,6,2000,bado,,
mig,6/19/00,126,,,,0,,0.06,,,0.08,2,,,74,1364,,87,72,43.9,13.85,,,5.75,,M,6,2000,ok,,LTI
sqa,6/13/00,303,,,,0,0.6,6.3,4.2,,0.06,2,3,,464,,,78.5,66,28,,,20,,13,F,6,2000,bado,,RJF
F400,7/16/00,400,,,,0.4,43.9,0.4,37.5,,1.15,2,43.52,,,,,96,78.5,61.6,29.66,,,,,F,7,2000,preg,,
F463,7/2/00,463,,,,0.1,52.4,4.2,33.1,,0.17,2,30.8,,,,,97,79,59.6,16.75,,,,,F,7,2000,preg,,
F465,7/3/00,465,,,,0,0.5,1.4,15,,5.91,2,31.2,,,,,98,77,58.6,17.6,,,,,F,7,2000,lact,,
F466,7/5/00,466,,,,0.03,1.1,0.2,6.8,,0.21,1,47,,,,,97,83,66.4,15.95,,,,,F,7,2000,lact,,
F467,7/18/00,467,,,,0.1,24.4,5.3,71.2,,0.23,1,46,,,,,98,83,79.2,15.4,,,,,F,7,2000,preg,,
F468,7/5/00,468,,,,0.006,6.6,7.9,11.7,,0.42,2,23.5,,,,,99.5,80.5,60.6,18.1,,,,,F,7,2000,?,,
F474,7/14/00,474,,,,0.05,1.1,0.04,20.8,,0.05,2,32.82,,,,,97,81,59.4,15.58,,,,,F,7,2000,lact,,
F476,7/15/00,476,,,,0.16,0.5,5.7,16.2,,0.18,,3.9,,,,,72.5,60,23,,,,,,F,7,2000,bado,,
chac,7/15/00,477,,,,0,0.4,8,11.8,,0.13,2,4.3,,456,,,85,68,33.8,19.95,,,,,F,7,2000,bado,,
F478,7/16/00,478,,,,0.11,1,2.1,12.4,,0.76,2,21.2,,,,,100,82,57,14.65,,,,,F,7,2000,?,,
F479,7/17/00,479,,,,0,7.7,11,9.4,,0.22,2,24.5,,,,,94,72,47.8,15.2,,,,,F,7,2000,lact,,
F480,7/17/00,480,,,,0.06,1.2,3.4,20.5,,0.82,3,33.7,,,,,93.5,78,60.6,17.1,,,,,F,7,2000,lact,,
F481,7/18/00,481,,,,0.32,68.7,1.5,57.4,,0.73,2,29.7,,,,,102,83,58.8,10.15,,,,,F,7,2000,preg,,
F482,7/18/00,482,,,,0.09,0.5,4.5,18.5,,0.64,,39.6,,,,,102,79.5,58,11.85,,,,,F,7,2000,?,,
F485,7/20/00,485,,,,0.3,48.9,33,91.4,,0.21,2,37.3,,,,,96.5,79,62.4,16.4,,,,,F,7,2000,preg,,
eco,7/21/00,486,,,,0.1,3.4,5,19.5,,0.2,3,39.5,,238,,,91.5,77.5,57,17,,,,,F,7,2000,lact,,
F488,7/23/00,488,,,,0.3,0.9,3.7,25.9,,0.83,2,33,,,,,99.5,78.5,59.6,15.9,,,,,F,7,2000,lact,,
F489,7/23/00,489,,,,0.09,1.3,0.8,16.2,,0.73,2,41.2,,,,,98,80.5,64.4,14.7,,,,,F,7,2000,lact,,
F490,7/25/00,490,,,,0,0.8,0.5,11.7,,1.12,,36.1,,,,,98.5,78,66.6,19,,,,,F,7,2000,lact,,
F491,7/25/00,491,,,,0.2,1.3,1.4,11.9,,3.09,,37,,,,,99.5,77.5,68,17.7,,,,,F,7,2000,lact,,
F492,7/27/00,492,,,,0.1,24.3,3,38.6,,0.14,2,39.8,,,,,97,79,61.4,14,,,,,F,7,2000,preg,,
F493,7/27/00,493,,,,0.04,0.8,0.1,9.4,,0.09,1,50,,,,,100,80,69,13.4,,,,,F,7,2000,lact,,
F496,7/29/00,496,,,,0.03,19.2,2.8,17.6,,0.31,2,25,,,,,97.5,78,61,13.1,,,,,F,7,2000,preg,,
F497,7/29/00,497,,,,0,1.4,4.1,14.8,,0.08,1,32,,,,,100,78,50.6,16.4,,,,,F,7,2000,lact,,
F498,7/30/00,498,,,,0,2.7,38.11,10.6,,0.37,3,35.4,,,,,101,78,61.8,10.55,,,,,F,7,2000,lact,,
gui,7/12/00,308,,,,0,0.1,0.04,6.5,,0.4,2,4.58,,425,,,84,66.5,38.8,17.6,,16,,17,F,7,2000,bado,,RJF
jas,7/30/00,311,,,,0,,0.5,,,0,2,,375.4,351,933,,81.5,71.5,33.4,20.9,,19,,15.5,M,7,2000,bado,,JNM
M399,7/17/00,399,,,,0,,1.7,,,0.01,,,,,576,,90,75,41.3,18.6,,,,,M,7,2000,bado,,
M464,7/2/00,464,,,,0.9,,3.4,,,0.21,2,,,,1410,,95,80.5,61.2,17.05,,,,,M,7,2000,ok,,
M469,7/6/00,469,,,,0.2,,0.1,,,0.5,2,,,,696,,75,69,29.3,17.55,,,,,M,7,2000,bado,,
M470,7/6/00,470,,,,2.3,,1.7,,,0.35,2,,,,565.4,,100,80.5,48.4,14.95,,,,,M,7,2000,ok,,
M471,7/7/00,471,,,,0.04,,0.1,,,0.19,,,,,761,,85,74.5,38.2,19.6,,,,,M,7,2000,bado,,
slm,7/7/00,472,,,,0.05,,49.4,,,0.39,2,,,280,568.52,,83,71,32.8,19.15,,,,,M,7,2000,bado,,
M473,7/13/00,473,,,,0.04,,0.02,,,0.2,,,,,821,,95,73,42.6,17,,,,,M,7,2000,bado,,
M475,7/14/00,475,,,,0,,11.6,,,0.05,,,,,570,,76,65.5,26.2,,,,,,M,7,2000,bado,,
M483,7/19/00,483,,,,0.7,,0.8,,,0.16,2,,,,1336.2,,96,77.5,51.8,12.8,,,,,M,7,2000,ok,,
HFT,7/19/00,484,,,,0,,0.1,,,0.22,,,,,996,,82,73,39,19.5,,,,,M,7,2000,bado,,
M495,7/27/00,495,,,,0.03,,0.1,,,0.5,2,,,,763,,89,69.5,41.8,18.5,,,,,M,7,2000,bado,,
M499,7/31/00,499,,0.189999998,0.460000008,0.02,,37.9,,,0.22,3,,,,818,,99,79.5,59.6,13.35,,,,,M,7,2000,ok,,
mojo,7/28/00,310,,,,0,,10.2,,,0.06,2,,396.65,359,634,,73,59,19.5,,,17,,8.5,M,7,2000,bado,,JNM
F390,8/6/00,390,,,,0,0.1,2.9,4.4,,0.31,2,22.1,,,,,98,78,59.6,17.65,,,,,F,8,2000,bado,,
F391,8/6/00,391,,,,0.1,0.2,8.8,8.8,,0.32,2,13.8,,,,,92,73,49,16.9,,,,,F,8,2000,bado,,
F393,8/3/00,393,,,,0.03,1.5,1,10.5,,0.54,2,47,,,,,90,76,50,17.25,,,,,F,8,2000,lact,,
F395,8/3/00,395,,,,0.5,39.4,0.6,25.1,,0.26,2,41.3,,,,,96,80,58,15.4,,,,,F,8,2000,preg,,
F500,8/1/00,500,,,,0.09,0.1,2.4,11.8,,0.27,2,12.3,,,,,84,71,46.2,18.6,,,,,F,8,2000,bado,,
M389,8/6/00,389,,2.019999981,2.099999905,2.4,,16.5,,,0.31,1,,,,1286,,89,76,56.6,12.3,,,,,M,8,2000,ok,,
M392,8/4/00,392,,,,1.1,,9.4,,,0.16,2,,,,1325,,102,78,58.6,15.7,,,,,M,8,2000,ok,,
M394,8/3/00,394,,,,0.1,,0.3,,,0.23,2,,,,655,,80.5,65,33.8,18.85,,,,,M,8,2000,bado,,
M396,8/2/00,396,,,,0,,0.4,,,0.11,2,,,,1421,,94.5,78,,14.2,,,,,M,8,2000,ok,,
M397,8/2/00,397,,,,0,,3.6,,,0.11,1,,,,480,,82.5,66.5,32.6,16.65,,,,,M,8,2000,bado,,
M398,8/1/00,398,,,,1.3,,0,,,0.17,2,,,,1453,,92,75.5,50.6,15.65,,,,,M,8,2000,ok,,
gol,9/26/00,89,,1.230000019,3.609999895,0.298,213,4.78,284,,0.21,2,47.9,,149,,,102.4,81,70,14.43,-0.3,19,,109,F,9,2000,preg,,RAF
mp,9/30/00,145,,,,0.048,1.7,6.98,0,,1.04,2,45.68,,91,,,99,79.5,50.8,15.68,0.25,7,,74,F,9,2000,lact,,RAF
M420,6/4/00,420,,,,,,,,,,1,39.2,,,,,98,82,,18.65,,,,,F,6,2000,lact,,
M385,11/6/00,385,,,,1.021,,14.73,,,0.24,,,,,,,,,,,,,,,M,11,2000,ok,,
csn,2/16/01,249,,,,0.042,0.7,1.43,0,,0.18,,,,248,,,,,,,,2,,37,F,2,2001,,,RAF
ftfem,3/16/01,388,,,,0.002,0.8,6.53,,,0.15,,,,,,,,,,,,,,,F,3,2001,bado,,
whi,3/27/01,309,,,,0.028,,7.73,,,0.2,,,,259,,,,,,,,,,12,M,3,2001,bado,,JNM
frr,4/18/01,318,,,,0.077,,1.95,,,0.43,,,,323,,,,,,,,,,9.3,M,4,2001,bado,,JNM
mca,4/20/01,294,,,,0.18,,0.27,,,0.19,,,,331,,,,,,,,,,24,M,4,2001,,,JNM
ldv,5/7/01,237,,0.319999993,0.330000013,0.046,,0.22,,,0.2,,,,144,,,,,,,,,,42,M,5,2001,,,ANM
ani,5/11/01,316,,,,0,0,2.49,0,,0.31,,,,202,,,,,,,,,,17.75,F,5,2001,bado,,RJF
foz,5/12/01,265,,0.090000004,0.330000013,0,,0.78,,,0.19,,,,190,,,,,,,,,,41,M,5,2001,,,ANM
art,5/13/01,323,,,,0,1.8,24.78,0,,0.06,3,,,347,,,,,,,,,,13.75,F,5,2001,bado,,RJF
bacc,5/25/01,329,,,,0,,0.34,,,1.82,1,,,408,,,,,,,,,,14,M,5,2001,bado,,JNM
M378,5/29/01,378,,3.349999905,2.410000086,2.898,,2.17,,,0.29,2,,,,,,,,,,,,,,M,5,2001,,,
bmr,5/29/01,376,,,,0.003,0.7,0.4,0,,0.23,1,,,,,,,,,,,,,,F,5,2001,,,
F379,5/31/01,379,,,,0.011,0.7,3.96,0,,0.23,,,,,,,,,,,,,,,F,5,2001,,,
rump,6/1/01,330,,,,0.052,0,0.27,0,,0.43,1,,,268,,,,,,,,,,11.25,F,6,2001,bado,,RJF
